#Source                    |Destination                |Total Strands|Capacity|Bid  |Client
#=============================================================================================
San Francisco, California  ; Denver, Colorado          ;            5;       7;  639;     0
Kansas City, Missouri      ; Salt Lake City, Utah      ;            3;      15;  655;  1130
Kansas City, Missouri      ; Denver, Colorado          ;            3;      86;  915;  1131
Salt Lake City, Utah       ; Madison, Wisconsin        ;            2;      67;  886;  1132
Kansas City, Missouri      ; Madison, Wisconsin        ;            9;      83;  656;  1133
Salt Lake City, Utah       ; Kansas City, Missouri     ;            2;      98;  943;  1134
San Francisco, California  ; Salt Lake City, Utah      ;            5;      68;  798;  1135
Salt Lake City, Utah       ; Denver, Colorado          ;            4;      79;  897;  1136
San Francisco, California  ; Denver, Colorado          ;            7;      63;  673;  1137
Kansas City, Missouri      ; Madison, Wisconsin        ;            6;      49;  708;  1138
Salt Lake City, Utah       ; Denver, Colorado          ;            7;      56;  810;  1139
San Francisco, California  ; Salt Lake City, Utah      ;            2;      95;  687;  1140
San Francisco, California  ; Denver, Colorado          ;            2;      91;  707;  1141
Kansas City, Missouri      ; Madison, Wisconsin        ;            1;      42;  790;  1142
Kansas City, Missouri      ; Denver, Colorado          ;            5;      34;  862;  1143
San Francisco, California  ; Kansas City, Missouri     ;            1;      53;  888;  1144
Salt Lake City, Utah       ; Kansas City, Missouri     ;            4;     100;  602;  1145
Salt Lake City, Utah       ; Kansas City, Missouri     ;            9;      86;  705;  1146
Denver, Colorado           ; Madison, Wisconsin        ;            5;       1;  902;  1147
San Francisco, California  ; Madison, Wisconsin        ;           10;      90;  699;  1148
Kansas City, Missouri      ; Madison, Wisconsin        ;            2;      76;  678;  1149
Salt Lake City, Utah       ; Madison, Wisconsin        ;            6;      28;  659;  1150
Denver, Colorado           ; Kansas City, Missouri     ;            3;      35;  704;  1151
Kansas City, Missouri      ; Salt Lake City, Utah      ;           10;      35;  773;  1152
Salt Lake City, Utah       ; Kansas City, Missouri     ;            3;      23;  915;  1153
Denver, Colorado           ; Kansas City, Missouri     ;           10;      77;  958;  1154
San Francisco, California  ; Kansas City, Missouri     ;           10;      81;  715;  1155
San Francisco, California  ; Denver, Colorado          ;           10;      98;  882;  1156
Denver, Colorado           ; Madison, Wisconsin        ;            7;       3;  748;  1157
San Francisco, California  ; Kansas City, Missouri     ;            4;      84;  952;  1158
Denver, Colorado           ; Kansas City, Missouri     ;            1;      95;  775;  1159
Kansas City, Missouri      ; Salt Lake City, Utah      ;            9;       3;  799;  1160
Denver, Colorado           ; Madison, Wisconsin        ;            5;      97;  808;  1161
Salt Lake City, Utah       ; Kansas City, Missouri     ;            6;      76;  861;  1162
Kansas City, Missouri      ; Denver, Colorado          ;            1;      30;  753;  1163
Kansas City, Missouri      ; Madison, Wisconsin        ;            4;       4;  839;  1164
San Francisco, California  ; Salt Lake City, Utah      ;            2;      59;  774;  1165
Denver, Colorado           ; Madison, Wisconsin        ;            7;      52;  705;  1166
Salt Lake City, Utah       ; Denver, Colorado          ;            4;      13;  875;  1167
Kansas City, Missouri      ; Denver, Colorado          ;            7;      12;  637;  1168
Salt Lake City, Utah       ; Denver, Colorado          ;            9;      20;  942;  1169
San Francisco, California  ; Salt Lake City, Utah      ;            6;      62;  964;  1170
Kansas City, Missouri      ; Denver, Colorado          ;            3;       4;  888;  1171
Kansas City, Missouri      ; Salt Lake City, Utah      ;            6;       1;  787;  1172
Kansas City, Missouri      ; Madison, Wisconsin        ;            1;      17;  794;  1173
Denver, Colorado           ; Madison, Wisconsin        ;            2;      77;  663;  1174
Kansas City, Missouri      ; Madison, Wisconsin        ;            5;      86;  994;  1175
Salt Lake City, Utah       ; Denver, Colorado          ;            9;      92;  895;  1176
Kansas City, Missouri      ; Salt Lake City, Utah      ;            5;       7;  618;  1177
Denver, Colorado           ; Salt Lake City, Utah      ;            4;      74;  809;  1178
Kansas City, Missouri      ; Salt Lake City, Utah      ;            8;       4;  752;  1179
Salt Lake City, Utah       ; Madison, Wisconsin        ;            4;      83;  914;  1180
Kansas City, Missouri      ; Denver, Colorado          ;           10;      38;  765;  1181
Denver, Colorado           ; Kansas City, Missouri     ;            7;      36;  601;  1182
Kansas City, Missouri      ; Denver, Colorado          ;            6;      66;  623;  1183
San Francisco, California  ; Denver, Colorado          ;            7;       2;  615;  1184
Salt Lake City, Utah       ; Kansas City, Missouri     ;           10;      82;  839;  1185
Kansas City, Missouri      ; Salt Lake City, Utah      ;            4;      25;  694;  1186
San Francisco, California  ; Salt Lake City, Utah      ;            6;      98;  603;  1187
Denver, Colorado           ; Salt Lake City, Utah      ;            5;      19;  859;  1188
San Francisco, California  ; Salt Lake City, Utah      ;           10;      20;  805;  1189
Denver, Colorado           ; Madison, Wisconsin        ;            7;      63;  659;  1190
Kansas City, Missouri      ; Salt Lake City, Utah      ;            8;      30;  981;  1191
Kansas City, Missouri      ; Denver, Colorado          ;            9;       2;  948;  1192
Kansas City, Missouri      ; Denver, Colorado          ;            6;      97;  881;  1193
Salt Lake City, Utah       ; Kansas City, Missouri     ;            5;      68;  796;  1194
Kansas City, Missouri      ; Madison, Wisconsin        ;            3;      85;  855;  1195
Salt Lake City, Utah       ; Kansas City, Missouri     ;            7;       6;  647;  1196
Salt Lake City, Utah       ; Denver, Colorado          ;            8;      35;  636;  1197
Salt Lake City, Utah       ; Madison, Wisconsin        ;            8;      17;  843;  1198
San Francisco, California  ; Madison, Wisconsin        ;            5;      60;  860;  1199
